Timestamp,CO2,Temperature,Humidity
2024-06-15T13:51:57,2762,22.68,63.88
2024-06-15T13:52:03,2761,22.61,63.98
2024-06-15T13:52:09,2761,22.59,64.22
2024-06-15T13:52:12,2758,22.56,64.4
2024-06-15T13:52:18,2755,22.53,64.57
2024-06-15T13:52:21,2755,22.51,64.73
2024-06-15T13:52:27,2752,22.45,64.91
2024-06-15T13:52:33,2753,22.4,65.09
2024-06-15T13:52:36,2753,22.42,65.3
2024-06-15T13:52:42,2753,22.36,65.36
2024-06-15T13:52:48,2753,22.38,65.47
2024-06-15T13:52:51,2750,22.33,65.67
2024-06-15T13:52:57,2749,22.29,65.87
2024-06-15T13:53:00,2749,22.29,66.01
2024-06-15T13:53:06,2749,22.28,66.12
2024-06-15T13:53:12,2750,22.26,66.21
2024-06-15T13:53:15,2749,22.21,66.38
2024-06-15T13:53:21,2748,22.23,66.5
2024-06-15T13:53:27,2748,22.23,66.59
2024-06-15T13:53:30,2748,22.23,66.68
2024-06-15T13:53:36,2748,22.18,66.84
2024-06-15T13:53:39,2748,22.2,66.94
2024-06-15T13:53:45,2747,22.17,67.08
2024-06-15T13:53:51,2747,22.17,67.15
2024-06-15T13:53:54,2746,22.16,67.32
2024-06-15T13:54:00,2746,22.16,67.46
2024-06-15T13:54:06,2746,22.18,67.62
2024-06-15T13:54:09,2745,22.16,67.7
2024-06-15T13:54:15,2744,22.14,67.85
2024-06-15T13:54:18,2743,22.12,67.89
2024-06-15T13:54:24,2743,22.1,68.07
2024-06-15T13:54:30,2742,22.08,68.07
2024-06-15T13:54:33,2742,22.07,68.04
2024-06-15T13:54:39,2741,22.06,67.96
2024-06-15T13:54:42,2741,22.05,67.85
2024-06-15T13:54:48,2741,22.05,67.78
2024-06-15T13:54:54,2741,22.03,67.71
2024-06-15T13:54:57,2741,22.01,67.69
2024-06-15T13:55:03,2741,22.03,67.77
2024-06-15T13:55:09,2740,22.03,67.89
2024-06-15T13:55:12,2740,21.99,67.98
2024-06-15T13:55:18,2740,21.98,67.96
2024-06-15T13:55:21,2737,21.97,67.84
2024-06-15T13:55:27,2735,21.95,67.81
2024-06-15T13:55:33,2735,21.91,67.72
2024-06-15T13:55:36,2736,21.89,67.76
2024-06-15T13:55:42,2735,21.89,67.77
2024-06-15T13:55:48,2735,21.9,67.69
2024-06-15T13:55:51,2735,21.87,67.59
2024-06-15T13:55:57,2735,21.79,67.54
2024-06-15T13:56:00,2734,21.76,67.48
2024-06-15T13:56:06,2734,21.7,67.46
2024-06-15T13:56:12,2735,21.73,67.37
2024-06-15T13:56:15,2735,21.7,67.31
2024-06-15T13:56:21,2733,21.67,67.24
2024-06-15T13:56:24,2731,21.7,67.13
2024-06-15T13:56:30,2731,21.69,67.11
2024-06-15T13:56:36,2732,21.7,67.12
2024-06-15T13:56:39,2732,21.67,67.19
2024-06-15T13:56:45,2732,21.66,67.14
2024-06-15T13:56:51,2732,21.68,67.12
2024-06-15T13:56:54,2732,21.61,67.07
2024-06-15T13:57:00,2732,21.58,67.13
2024-06-15T13:57:03,2733,21.56,67.11
2024-06-15T13:57:09,2732,21.57,67.1
2024-06-15T13:57:15,2732,21.57,67.08
2024-06-15T13:57:18,2732,21.56,67.07
2024-06-15T13:57:24,2733,21.53,67.05
2024-06-15T13:57:30,2737,21.5,67.04
2024-06-15T13:57:33,2737,21.49,67.03
2024-06-15T13:57:39,2738,21.46,66.98
2024-06-15T13:57:42,2741,21.42,66.93
2024-06-15T13:57:48,2743,21.4,66.9
2024-06-15T13:57:54,2743,21.42,66.85
2024-06-15T13:57:57,2747,21.39,66.77
